"","date","value","Reference area","color","color2"
"1",1980-01-02,0.877122,"Germany","#000000","#DD0000"
"2",1980-01-03,0.872008,"Germany","#000000","#DD0000"
"3",1980-01-04,0.876457,"Germany","#000000","#DD0000"
"4",1980-01-07,0.875231,"Germany","#000000","#DD0000"
"5",1980-01-08,0.879015,"Germany","#000000","#DD0000"
"6",1980-01-09,0.876047,"Germany","#000000","#DD0000"
"7",1980-01-10,0.876867,"Germany","#000000","#DD0000"
"8",1980-01-11,0.878654,"Germany","#000000","#DD0000"
"9",1980-01-14,0.878298,"Germany","#000000","#DD0000"
"10",1980-01-15,0.87891,"Germany","#000000","#DD0000"
"11",1980-01-16,0.884534,"Germany","#000000","#DD0000"
"12",1980-01-17,0.88172,"Germany","#000000","#DD0000"
"13",1980-01-18,0.881465,"Germany","#000000","#DD0000"
"14",1980-01-21,0.883411,"Germany","#000000","#DD0000"
"15",1980-01-22,0.885814,"Germany","#000000","#DD0000"
"16",1980-01-23,0.885044,"Germany","#000000","#DD0000"
"17",1980-01-24,0.884434,"Germany","#000000","#DD0000"
"18",1980-01-25,0.885351,"Germany","#000000","#DD0000"
"19",1980-01-28,0.886838,"Germany","#000000","#DD0000"
"20",1980-01-29,0.887859,"Germany","#000000","#DD0000"
"21",1980-01-30,0.886887,"Germany","#000000","#DD0000"
"22",1980-01-31,0.889338,"Germany","#000000","#DD0000"
"23",1980-02-01,0.891948,"Germany","#000000","#DD0000"
"24",1980-02-04,0.892665,"Germany","#000000","#DD0000"
"25",1980-02-05,0.891131,"Germany","#000000","#DD0000"
"26",1980-02-06,0.887703,"Germany","#000000","#DD0000"
"27",1980-02-07,0.887502,"Germany","#000000","#DD0000"
"28",1980-02-08,0.890775,"Germany","#000000","#DD0000"
"29",1980-02-11,0.888371,"Germany","#000000","#DD0000"
"30",1980-02-12,0.889903,"Germany","#000000","#DD0000"
"31",1980-02-13,0.888064,"Germany","#000000","#DD0000"
"32",1980-02-14,0.885761,"Germany","#000000","#DD0000"
"33",1980-02-15,0.888881,"Germany","#000000","#DD0000"
"34",1980-02-18,0.889906,"Germany","#000000","#DD0000"
"35",1980-02-19,0.892611,"Germany","#000000","#DD0000"
"36",1980-02-20,0.892918,"Germany","#000000","#DD0000"
"37",1980-02-21,0.892611,"Germany","#000000","#DD0000"
"38",1980-02-22,0.899107,"Germany","#000000","#DD0000"
