"","freq","s_adj","p_adj","indic","geo","date","values","full_name","color","color2"
"1","M","NSA","NAP","MF-LTGBY-RT","DE",1995-01-01,0.076,"Germany","#000000","#DD0000"
"2","M","NSA","NAP","MF-LTGBY-RT","DE",1995-02-01,0.0742,"Germany","#000000","#DD0000"
"3","M","NSA","NAP","MF-LTGBY-RT","DE",1995-03-01,0.0728,"Germany","#000000","#DD0000"
"4","M","NSA","NAP","MF-LTGBY-RT","DE",1995-04-01,0.0709,"Germany","#000000","#DD0000"
"5","M","NSA","NAP","MF-LTGBY-RT","DE",1995-05-01,0.0686,"Germany","#000000","#DD0000"
"6","M","NSA","NAP","MF-LTGBY-RT","DE",1995-06-01,0.0678,"Germany","#000000","#DD0000"
"7","M","NSA","NAP","MF-LTGBY-RT","DE",1995-07-01,0.0686,"Germany","#000000","#DD0000"
"8","M","NSA","NAP","MF-LTGBY-RT","DE",1995-08-01,0.0674,"Germany","#000000","#DD0000"
"9","M","NSA","NAP","MF-LTGBY-RT","DE",1995-09-01,0.0659,"Germany","#000000","#DD0000"
"10","M","NSA","NAP","MF-LTGBY-RT","DE",1995-10-01,0.0657,"Germany","#000000","#DD0000"
"11","M","NSA","NAP","MF-LTGBY-RT","DE",1995-11-01,0.0634,"Germany","#000000","#DD0000"
"12","M","NSA","NAP","MF-LTGBY-RT","DE",1995-12-01,0.0607,"Germany","#000000","#DD0000"
"13","M","NSA","NAP","MF-LTGBY-RT","DE",1996-01-01,0.0589,"Germany","#000000","#DD0000"
"14","M","NSA","NAP","MF-LTGBY-RT","DE",1996-02-01,0.062,"Germany","#000000","#DD0000"
"15","M","NSA","NAP","MF-LTGBY-RT","DE",1996-03-01,0.0644,"Germany","#000000","#DD0000"
"16","M","NSA","NAP","MF-LTGBY-RT","DE",1996-04-01,0.0638,"Germany","#000000","#DD0000"
"17","M","NSA","NAP","MF-LTGBY-RT","DE",1996-05-01,0.0645,"Germany","#000000","#DD0000"
"18","M","NSA","NAP","MF-LTGBY-RT","DE",1996-06-01,0.0656,"Germany","#000000","#DD0000"
"19","M","NSA","NAP","MF-LTGBY-RT","DE",1996-07-01,0.0648,"Germany","#000000","#DD0000"
"20","M","NSA","NAP","MF-LTGBY-RT","DE",1996-08-01,0.063,"Germany","#000000","#DD0000"
"21","M","NSA","NAP","MF-LTGBY-RT","DE",1996-09-01,0.0623,"Germany","#000000","#DD0000"
"22","M","NSA","NAP","MF-LTGBY-RT","DE",1996-10-01,0.0601,"Germany","#000000","#DD0000"
"23","M","NSA","NAP","MF-LTGBY-RT","DE",1996-11-01,0.0586,"Germany","#000000","#DD0000"
"24","M","NSA","NAP","MF-LTGBY-RT","DE",1996-12-01,0.0579,"Germany","#000000","#DD0000"
"25","M","NSA","NAP","MF-LTGBY-RT","DE",1997-01-01,0.058,"Germany","#000000","#DD0000"
"26","M","NSA","NAP","MF-LTGBY-RT","DE",1997-02-01,0.0555,"Germany","#000000","#DD0000"
"27","M","NSA","NAP","MF-LTGBY-RT","DE",1997-03-01,0.0571,"Germany","#000000","#DD0000"
"28","M","NSA","NAP","MF-LTGBY-RT","DE",1997-04-01,0.0587,"Germany","#000000","#DD0000"
"29","M","NSA","NAP","MF-LTGBY-RT","DE",1997-05-01,0.0576,"Germany","#000000","#DD0000"
"30","M","NSA","NAP","MF-LTGBY-RT","DE",1997-06-01,0.0572,"Germany","#000000","#DD0000"
"31","M","NSA","NAP","MF-LTGBY-RT","DE",1997-07-01,0.0556,"Germany","#000000","#DD0000"
"32","M","NSA","NAP","MF-LTGBY-RT","DE",1997-08-01,0.0566,"Germany","#000000","#DD0000"
"33","M","NSA","NAP","MF-LTGBY-RT","DE",1997-09-01,0.0559,"Germany","#000000","#DD0000"
"34","M","NSA","NAP","MF-LTGBY-RT","DE",1997-10-01,0.0558,"Germany","#000000","#DD0000"
"35","M","NSA","NAP","MF-LTGBY-RT","DE",1997-11-01,0.0556,"Germany","#000000","#DD0000"
"36","M","NSA","NAP","MF-LTGBY-RT","DE",1997-12-01,0.0533,"Germany","#000000","#DD0000"
